"Source Item Name","Teapplix SKU",Memo
"
B0GFY87GJM",NS5336,
AM5003DM-2p,5003DM-2,
AM5003DM-2p-LA,5003DM-2,
AM5003DM-4,5003DM-4,
AM5003DM-4-LA,5003DM-4,
AM5003MCC,5003MCC-4,
AM5003MCC-2,5003MCC-2,
AM5003MCC-2p,5003MCC-2,
AM5003MCC-2p-LA,5003MCC-2,
AM5003MCC-4,5003MCC-4,
AM5003MCC-4-LA,5003MCC-4,
AM5003MDM,5003MDM-2,
AM5003MDM-4,5003MDM-4,
AM5003MDM-4-LA,5003MDM-4,
AM5003MDM-four,5003MDM-4,
AM5003MDM-four-LA,5003MDM-4,
AM5003MDM-LA,5003MDM-2,
AM5003MDM-two,5003MDM-2,
AM5003MDM-two-LA,5003MDM-2,
AM5003MGM-2,5003MGM-2,
AM5003MGM-2-LA,5003MGM-2,
AM5003MGM-4,5003MGM-4,
AM5003MGM-4-LA,5003MGM-4,
AM5003MGM-four,5003MGM-4,
AM5003MGM-four-LA,5003MGM-4,
AM5003MGM-two,5003MGM-2,
AM5003MGM-two-LA,5003MGM-2,
AM5003R-4,5003B-4,
AM5003S,5003S-2,
am5003s-24-2,5003s-24-2,
AM5003S-4,5003S-4,
am5003s1,5003S-4,
am5003s2,5003S-4,
am5003sss,5003S-2,
AM5005B,5005B,
AM5006B,5006B,
AM5009-24S-2pack,5009-24s-2,
AM5009-24S-4pack,5009-24s-4,
AM5009G-2p,5009D-2,
AM5009G-4,5009D-4,
AM5010BR,5010BR,
AM5010BR-LA,5010BR,
AM5010c-2,5010c,
AM5012-2,5012-2,
AM5012-2pack,5012-2,
AM5012W,5012W,
AM5013-2pack,5013-2pack,
AM5014B-2pack,5014B-2,
AM5014L-2pack,5014L-2,
AM5014W-2pack,5014W-2pack,
AM5020W-4,5020W-4,
AM5022B-2,5022B-2,
AM5022W-2,5022W-2,
AM5023W-2,5023W-2,
AM5029B,5029b,
am5029w,5029W,
AM5031DM-2,5031DM-two-1,
AM5031DM-2-LA,5031DM-two-1,
AM5031DM-4,5031DM-4,
AM5031DM-four,5031DM-4,
AM5031DM-four-LA,5031DM-4,
AM5031DM-two,5031DM-two-1,
AM5031DM-two-LA,5031DM-two-1,
AM5031MCC-2,5031MCC-2,
AM5031MCC-2-LA,5031MCC-2,
AM5031MCC-four,5031MCC-4,
AM5031MCC-four-LA,5031MCC-4,
AM5031MCC-Two,5031MCC-2,
AM5031MCC-Two-LA,5031MCC-2,
AM5031MCCFOUR,5031MCC-4,
AM5032-24DC-4,5032-24DC-4,
AM5032-24DC-four,5032-24DC-4,
AM5037B,5037B,
AM5037B-LA,5037B,
AM5037R,5037R,
AM5037R-LA,5037R,
AM5038B,5038B,
am5039A,5039B,
AM5039B-C,5039B,
AM5040B,5040B,
AM5041B,5041B,
AM5042B_1,5042B,
AM5042W,5042W,
AM5044B.a,5044b,
AM5044BG-2.a,5044BG-2,
AM5044BG.a,5044BG,
AM5045B-2.a,5045b-2,
AM5045BG-2.a,5045BG-2,
"AM5046BL 8012",5046BL,
AM5048-24DM-2,5048-24DM-2,
AM5048-24DM-2-LA,5048-24DM-2,
AM5048-24DM-4,5048-24DM-4,
AM5048-24DM-4-LA,5048-24DM-4,
AM5048-24DM-four,5048-24DM-4,
AM5048-24DM-four-LA,5048-24DM-4,
AM5048-24DM-two,5048-24DM-2,
AM5048-24DM-two-LA,5048-24DM-2,
AM5048-24MCC-2,5048-24MCC-2,
AM5048-24MCC-2-LA,5048-24MCC-2,
AM5048-24MCC-4,5048-24MCC-4,
AM5048-24MCC-4-LA,5048-24MCC-4,
AM5048-24MCC-FOUR,5048-24MCC-4,
AM5048-24MCC-four-LA,5048-24MCC-4,
AM5048-24MCC-two,5048-24MCC-2,
